session_id,rank,pm
0,1,49.969268798828125
0,2,49.79477310180664
0,3,49.61379623413086
0,4,49.456459045410156
0,5,49.29347229003906
0,6,49.10264205932617
0,7,48.95085144042969
0,8,48.72600173950195
0,9,48.56754684448242
0,10,48.35920715332031
0,11,48.16686248779297
0,12,47.981056213378906
1,1,68.81488037109375
1,2,68.79735565185547
1,3,68.78968811035156
1,4,68.79278564453125
1,5,68.78023529052734
1,6,68.7717056274414
1,7,68.77726745605469
1,8,68.76708221435547
1,9,68.7412109375
1,10,68.73455810546875
1,11,68.73693084716797
1,12,68.74134826660156
2,1,53.911781311035156
2,2,53.89894485473633
2,3,53.90499496459961
2,4,53.924076080322266
2,5,53.93891906738281
2,6,53.94815444946289
2,7,53.9715576171875
2,8,53.95670700073242
2,9,53.97765350341797
2,10,53.9864387512207
2,11,54.01073455810547
2,12,54.04411697387695
3,1,51.96078872680664
3,2,51.93330383300781
3,3,51.918434143066406
3,4,51.92866897583008
3,5,51.922481536865234
3,6,51.919227600097656
3,7,51.92710876464844
3,8,51.890602111816406
3,9,51.89714431762695
3,10,51.88746643066406
3,11,51.894737243652344
3,12,51.913116455078125
4,1,39.305091857910156
4,2,39.28007125854492
4,3,39.262027740478516
4,4,39.24436950683594
4,5,39.2147102355957
4,6,39.1856803894043
4,7,39.18135070800781
4,8,39.16888427734375
4,9,39.141353607177734
4,10,39.130157470703125
4,11,39.11409378051758
4,12,39.104068756103516
5,1,30.627317428588867
5,2,30.64557647705078
5,3,30.658187866210938
5,4,30.64628028869629
5,5,30.61944580078125
5,6,30.614280700683594
5,7,30.614042282104492
5,8,30.669363021850586
5,9,30.633193969726562
5,10,30.66325569152832
5,11,30.666982650756836
5,12,30.668865203857422
6,1,28.46572494506836
6,2,28.488868713378906
6,3,28.498924255371094
6,4,28.479013442993164
6,5,28.44046401977539
6,6,28.432676315307617
6,7,28.4220027923584
6,8,28.48501205444336
6,9,28.435623168945312
6,10,28.464059829711914
6,11,28.460710525512695
6,12,28.45171546936035
7,1,40.23194885253906
7,2,40.17557144165039
7,3,40.12945556640625
7,4,40.085906982421875
7,5,40.03227996826172
7,6,39.97517013549805
7,7,39.94386672973633
7,8,39.89284133911133
7,9,39.84373092651367
7,10,39.796504974365234
7,11,39.74882888793945
7,12,39.707252502441406
8,1,46.868629455566406
8,2,46.83819580078125
8,3,46.824337005615234
8,4,46.82977294921875
8,5,46.81680679321289
8,6,46.80759048461914
8,7,46.82210922241211
8,8,46.78828048706055
8,9,46.79597473144531
8,10,46.780181884765625
8,11,46.78158187866211
8,12,46.79562759399414
9,1,47.72502136230469
9,2,47.69338607788086
9,3,47.67928695678711
9,4,47.68242263793945
9,5,47.67127227783203
9,6,47.66500473022461
9,7,47.67668914794922
9,8,47.64057540893555
9,9,47.64923095703125
9,10,47.6298828125
9,11,47.63242721557617
9,12,47.64706039428711
10,1,34.171810150146484
10,2,34.17512893676758
10,3,34.17903518676758
10,4,34.171749114990234
10,5,34.1530647277832
10,6,34.14225769042969
10,7,34.14638900756836
10,8,34.178340911865234
10,9,34.15065383911133
10,10,34.1703987121582
10,11,34.17489242553711
10,12,34.1810188293457
11,1,32.7759895324707
11,2,32.77943801879883
11,3,32.783058166503906
11,4,32.769954681396484
11,5,32.74387741088867
11,6,32.73038101196289
11,7,32.72962188720703
11,8,32.76131820678711
11,9,32.72780227661133
11,10,32.74628448486328
11,11,32.744625091552734
11,12,32.74409103393555
12,1,30.933137893676758
12,2,30.900341033935547
12,3,30.86432456970215
12,4,30.80265235900879
12,5,30.73074722290039
12,6,30.66847801208496
12,7,30.614355087280273
12,8,30.60971450805664
12,9,30.51749610900879
12,10,30.49071502685547
12,11,30.432559967041016
12,12,30.377826690673828
13,1,87.03158569335938
13,2,87.01480865478516
13,3,87.00859069824219
13,4,86.99836730957031
13,5,86.98300170898438
13,6,86.93965911865234
13,7,86.95182037353516
13,8,86.9553451538086
13,9,86.91222381591797
13,10,86.90463256835938
13,11,86.88711547851562
13,12,86.86685180664062
14,1,59.158084869384766
14,2,59.10210418701172
14,3,59.05523681640625
14,4,59.024234771728516
14,5,58.98002243041992
14,6,58.94074630737305
14,7,58.915565490722656
14,8,58.84062576293945
14,9,58.814720153808594
14,10,58.753944396972656
14,11,58.716548919677734
14,12,58.687137603759766
15,1,48.02158737182617
15,2,47.9807014465332
15,3,47.95634841918945
15,4,47.955078125
15,5,47.93845748901367
15,6,47.91401672363281
15,7,47.91895294189453
15,8,47.87538528442383
15,9,47.870330810546875
15,10,47.8477668762207
15,11,47.84033203125
15,12,47.8441276550293
16,1,74.29632568359375
16,2,74.21871185302734
16,3,74.14987182617188
16,4,74.07820892333984
16,5,74.00521850585938
16,6,73.91576385498047
16,7,73.86378479003906
16,8,73.77091979980469
16,9,73.68567657470703
16,10,73.59683227539062
16,11,73.51457977294922
16,12,73.43106842041016
17,1,78.90620422363281
17,2,78.81468963623047
17,3,78.74309539794922
17,4,78.68016052246094
17,5,78.60576629638672
17,6,78.53181457519531
17,7,78.46814727783203
17,8,78.40259552001953
17,9,78.30101013183594
17,10,78.22573852539062
17,11,78.14788055419922
17,12,78.06442260742188
18,1,71.5057601928711
18,2,71.65843200683594
18,3,71.89329528808594
18,4,72.0649185180664
18,5,72.2838134765625
18,6,72.43650817871094
18,7,72.66917419433594
18,8,72.88700103759766
18,9,73.11762237548828
18,10,73.33296203613281
18,11,73.5657958984375
18,12,73.84687805175781
19,1,45.82289505004883
19,2,45.799842834472656
19,3,45.81308364868164
19,4,45.81626892089844
19,5,45.83440399169922
19,6,45.85084533691406
19,7,45.894081115722656
19,8,45.87143325805664
19,9,45.889827728271484
19,10,45.89304733276367
19,11,45.919219970703125
19,12,45.939720153808594
20,1,45.22374725341797
20,2,45.1643180847168
20,3,45.14925003051758
20,4,45.15226364135742
20,5,45.13842010498047
20,6,45.15938186645508
20,7,45.11967849731445
20,8,45.130088806152344
20,9,45.14653015136719
20,10,45.11705780029297
20,11,45.12966537475586
20,12,45.136051177978516
21,1,40.54079818725586
21,2,40.50019454956055
21,3,40.463226318359375
21,4,40.425376892089844
