session_id,rank,pm
0,1,50.01921463012695
0,2,49.88701248168945
0,3,49.73514938354492
0,4,49.576419830322266
0,5,49.42713928222656
0,6,49.2994384765625
0,7,49.1480827331543
0,8,48.97795867919922
0,9,48.826541900634766
0,10,48.660789489746094
0,11,48.49229431152344
0,12,48.3046989440918
1,1,68.6895980834961
1,2,68.70002746582031
1,3,68.69334411621094
1,4,68.68342590332031
1,5,68.686279296875
1,6,68.70592498779297
1,7,68.70636749267578
1,8,68.69678497314453
1,9,68.6811752319336
1,10,68.6911849975586
1,11,68.68465423583984
1,12,68.65552520751953
2,1,53.799278259277344
2,2,53.8155403137207
2,3,53.80924606323242
2,4,53.7968864440918
2,5,53.812740325927734
2,6,53.85279083251953
2,7,53.856754302978516
2,8,53.85613250732422
2,9,53.86283493041992
2,10,53.88782501220703
2,11,53.895286560058594
2,12,53.882049560546875
3,1,51.84113693237305
3,2,51.84397506713867
3,3,51.82561492919922
3,4,51.798431396484375
3,5,51.79466247558594
3,6,51.81306838989258
3,7,51.80992126464844
3,8,51.78676223754883
3,9,51.77953338623047
3,10,51.785221099853516
3,11,51.782020568847656
3,12,51.74468994140625
4,1,39.11577606201172
4,2,39.101383209228516
4,3,39.09687805175781
4,4,39.0922966003418
4,5,39.08089828491211
4,6,39.04399871826172
4,7,39.04514694213867
4,8,39.03276824951172
4,9,39.01367950439453
4,10,39.00023651123047
4,11,38.99720764160156
4,12,38.996009826660156
5,1,30.567485809326172
5,2,30.560029983520508
5,3,30.59111213684082
5,4,30.630754470825195
5,5,30.64133644104004
5,6,30.57974624633789
5,7,30.605613708496094
5,8,30.63653564453125
5,9,30.610200881958008
5,10,30.615732192993164
5,11,30.637170791625977
5,12,30.68961524963379
6,1,28.306171417236328
6,2,28.2855167388916
6,3,28.316606521606445
6,4,28.358373641967773
6,5,28.359724044799805
6,6,28.273359298706055
6,7,28.292797088623047
6,8,28.322669982910156
6,9,28.277856826782227
6,10,28.27290153503418
6,11,28.285974502563477
6,12,28.336528778076172
7,1,40.230224609375
7,2,40.181793212890625
7,3,40.14812469482422
7,4,40.11203384399414
7,5,40.06670379638672
7,6,39.993682861328125
7,7,39.96107864379883
7,8,39.91331481933594
7,9,39.856929779052734
7,10,39.804222106933594
7,11,39.76251220703125
7,12,39.72010040283203
8,1,46.844486236572266
8,2,46.83893585205078
8,3,46.825416564941406
8,4,46.80442428588867
8,5,46.79710388183594
8,6,46.79868698120117
8,7,46.79813766479492
8,8,46.77590560913086
8,9,46.76947021484375
8,10,46.768333435058594
8,11,46.76512908935547
8,12,46.739192962646484
9,1,47.63249969482422
9,2,47.62862014770508
9,3,47.61333084106445
9,4,47.58888244628906
9,5,47.58544921875
9,6,47.589271545410156
9,7,47.58883285522461
9,8,47.56680679321289
9,9,47.56070327758789
9,10,47.56221389770508
9,11,47.55864715576172
9,12,47.53126907348633
10,1,34.1002311706543
10,2,34.092445373535156
10,3,34.10954284667969
10,4,34.13474655151367
10,5,34.13806915283203
10,6,34.088356018066406
10,7,34.10551071166992
10,8,34.12313461303711
10,9,34.09947204589844
10,10,34.098854064941406
10,11,34.111717224121094
10,12,34.14707946777344
11,1,32.665828704833984
11,2,32.65122604370117
11,3,32.66932678222656
11,4,32.694091796875
11,5,32.692832946777344
11,6,32.62865447998047
11,7,32.64370346069336
