session_id,rank,pm
0,1,50.41511154174805
0,2,50.22831726074219
0,3,50.08812713623047
0,4,49.90118408203125
0,5,49.7210807800293
0,6,49.57676696777344
0,7,49.383567810058594
0,8,49.200748443603516
0,9,49.01742935180664
0,10,48.815887451171875
0,11,48.62849426269531
0,12,48.435089111328125
1,1,68.80833435058594
1,2,68.8026123046875
1,3,68.79662322998047
1,4,68.7889633178711
1,5,68.76679992675781
1,6,68.76455688476562
1,7,68.740478515625
1,8,68.7256088256836
1,9,68.72004699707031
1,10,68.71918487548828
1,11,68.70587921142578
1,12,68.68517303466797
2,1,53.87263488769531
2,2,53.869873046875
2,3,53.89585494995117
2,4,53.88536071777344
2,5,53.8874397277832
2,6,53.91850280761719
2,7,53.90579605102539
2,8,53.912357330322266
2,9,53.93739318847656
2,10,53.947242736816406
2,11,53.956947326660156
2,12,53.97437286376953
3,1,51.86138916015625
3,2,51.85307312011719
3,3,51.86491775512695
3,4,51.843421936035156
3,5,51.83226013183594
3,6,51.850887298583984
3,7,51.82582092285156
3,8,51.82097625732422
3,9,51.8297004699707
3,10,51.827186584472656
3,11,51.82659149169922
3,12,51.83633041381836
4,1,39.30936813354492
4,2,39.29855728149414
4,3,39.26539993286133
4,4,39.26131057739258
4,5,39.231014251708984
4,6,39.21274185180664
4,7,39.206382751464844
4,8,39.18584060668945
4,9,39.16413497924805
4,10,39.15798568725586
4,11,39.14797592163086
4,12,39.143001556396484
5,1,30.659727096557617
5,2,30.6876163482666
5,3,30.6347599029541
5,4,30.67694664001465
5,5,30.654909133911133
5,6,30.617280960083008
5,7,30.653385162353516
5,8,30.63534164428711
5,9,30.628698348999023
5,10,30.66830062866211
5,11,30.665876388549805
5,12,30.664793014526367
6,1,28.447521209716797
6,2,28.48036003112793
6,3,28.408449172973633
6,4,28.456634521484375
6,5,28.425918579101562
6,6,28.372955322265625
6,7,28.413232803344727
6,8,28.38422203063965
6,9,28.369348526000977
6,10,28.412553787231445
6,11,28.40009117126465
6,12,28.388816833496094
7,1,40.16463088989258
7,2,40.12107849121094
7,3,40.074562072753906
7,4,40.03461456298828
7,5,39.98019790649414
7,6,39.937408447265625
7,7,39.89521026611328
7,8,39.84928512573242
7,9,39.80059051513672
7,10,39.76329803466797
7,11,39.72406005859375
7,12,39.68339157104492
8,1,46.77919006347656
8,2,46.765541076660156
8,3,46.76873779296875
8,4,46.75151824951172
8,5,46.73614501953125
8,6,46.753719329833984
8,7,46.73332595825195
8,8,46.727996826171875
8,9,46.72852325439453
8,10,46.71906280517578
8,11,46.71982955932617
8,12,46.73267364501953
9,1,47.63957214355469
9,2,47.628204345703125
9,3,47.626670837402344
9,4,47.606292724609375
9,5,47.59638214111328
9,6,47.60669708251953
9,7,47.5853385925293
9,8,47.58052444458008
9,9,47.57518768310547
9,10,47.56761169433594
9,11,47.57122802734375
9,12,47.58009719848633
10,1,34.262107849121094
10,2,34.27043533325195
10,3,34.227115631103516
10,4,34.250732421875
10,5,34.226287841796875
10,6,34.198551177978516
10,7,34.215248107910156
10,8,34.196590423583984
10,9,34.18393325805664
10,10,34.20383071899414
10,11,34.20013427734375
10,12,34.197208404541016
11,1,32.792808532714844
11,2,32.801998138427734
11,3,32.75151443481445
11,4,32.77350616455078
11,5,32.74456024169922
11,6,32.70555877685547
11,7,32.723426818847656
11,8,32.699058532714844
11,9,32.681495666503906
11,10,32.70256042480469
11,11,32.69249725341797
11,12,32.68175506591797
12,1,31.134267807006836
12,2,31.102924346923828
12,3,31.009092330932617
12,4,30.988143920898438
12,5,30.91380500793457
12,6,30.817626953125
12,7,30.78662109375
12,8,30.710540771484375
12,9,30.64450454711914
12,10,30.628170013427734
12,11,30.559850692749023
12,12,30.48196029663086
13,1,87.03677368164062
13,2,87.03591918945312
13,3,87.01493072509766
13,4,87.02001190185547
13,5,86.98078918457031
13,6,86.96461486816406
13,7,86.95604705810547
13,8,86.93842315673828
13,9,86.90513610839844
13,10,86.90158081054688
13,11,86.8804702758789
13,12,86.84259796142578
14,1,59.00840759277344
14,2,58.96684646606445
14,3,58.940006256103516
14,4,58.884193420410156
14,5,58.835227966308594
14,6,58.817848205566406
14,7,58.76150131225586
14,8,58.712486267089844
14,9,58.6775016784668
14,10,58.62769317626953
14,11,58.579864501953125
14,12,58.54487991333008
15,1,47.634544372558594
15,2,47.612308502197266
15,3,47.61737823486328
15,4,47.58496856689453
15,5,47.56150436401367
15,6,47.57284927368164
15,7,47.53475570678711
15,8,47.52326583862305
15,9,47.5191535949707
15,10,47.50343322753906
15,11,47.49467468261719
15,12,47.493350982666016
16,1,74.337158203125
16,2,74.2643814086914
16,3,74.20831298828125
16,4,74.14002990722656
16,5,74.04955291748047
16,6,73.99134063720703
16,7,73.91319274902344
16,8,73.8261489868164
16,9,73.74945068359375
16,10,73.6684341430664
16,11,73.58527374267578
16,12,73.486572265625
17,1,79.06983947753906
17,2,79.00650787353516
17,3,78.94097900390625
17,4,78.90385437011719
17,5,78.79646301269531
17,6,78.72599792480469
17,7,78.6633071899414
17,8,78.59320068359375
17,9,78.51177978515625
17,10,78.433837890625
17,11,78.37223815917969
